IWord	Meaning	Date of Learning
abstraction	the quality of dealing with ideas rather than events	20/1/2015
soiree	an evening party or gathering typically in a private house	20/1/2015
discern	recognize or find out	20/1/2015
invincible	too powerful to be defeated	20/1/2015
rebuke	express sharp disapproval or criticism of (someone) because of their behavior or action	20/1/2015
puff	a short; explosive burst of breath or wind	20/1/2015
provoke	causing anger or another strong reaction; especially deliberately; stimulate or give rise to (a reaction or emotion typically an unwanted one) in someone	20/1/2015
jovial	cheerful and friendly	20/1/2015
unerring	always right or accurate	20/1/2015
plethora	an excess of something	20/1/2015
vincit omnia veritas	truth conquers all	20/1/2015
haste	excessive speed or urgency of movement; hurry	21/1/2015
perplexed	completely baffled; very puzzled	21/1/2015
intonation	the rise and fall of the voice in speaking	21/1/2015
stingy	mean;ungenerous	21/1/2015
paradigm	a typical example or pattern of something; a pattern of model	21/1/2015
deity	a god or goddess	21/1/2015
conch	shankh [Read this as hindi]	21/1/2015
aide de camp	a military officer acting as a confidential assistant to a senior officer	21/1/2015
distort	pull or twist out of shape	21/1/2015
restraint	a measure or condition that keeps someone or something under control	27/1/2015
infer	a conclusion reached on the basis of evidence and reasoning	27/1/2015
imitation	the action of using someone or something as a model	27/1/2015
bemoan	express discontent or sorrow over (something)	27/1/2015
impede	a hindrance or obstruction in doing something	27/1/2015
pragmatic	dealing with the problems that exist in a specific situation in a reasonable and logical way instead of depending on ideas and theories	27/1/2015
perceive	become aware or conscious of (something); come to size or understand	27/1/2015
clamouring	a loud and confused noise especially that of people shouting	28/1/2015
omnipresent	(of God) present everywhere at the same time	28/1/2015
adamant	refusing to be persuaded or to change one's mind	28/1/2015
omnipotent	(of a deity) having unlimited power	28/1/2015
omniscient	knowing everything	28/1/2015
vital	absolutely necessary; essential	28/1/2015
sage	a profoundly wise person	28/1/2015
dross	something regarded as worthless; rubbish	28/1/2015
thrive	(of a child; animal; or plant) grow or develop well or vigorously; prosper or flourish	28/1/2015
elate	make (someone) ecstatically happy	28/1/2015
ecstasy	an overwhelming feeling of great happiness or joyful excitement	28/1/2015
splurge	an act of acting money freely or extravagantly	29/1/2015
extravagantly	lacking restraint in spending money or resources	29/1/2015
perception	the ability to see; hear; or become aware of something through the sense	29/1/2015
centrifugal	moving or tending to move away from a centre	29/1/2015
lumbar	relating to the lower part of the back	29/1/2015
peculiar	different to what is normal or expected; strange	29/1/2015
seer	a person of supposed supernatural insight who sees visions of the future	29/1/2015
assimilate	take in and understand fully (information or ideas); absorb and digest	29/1/2015
aeon	an indefinite and very long period of time	29/1/2015
sway	move or cause to move slowly or rhythmically backwards and forwards or from side to side	29/1/2015
adsum	I am here (Latin Phrase)	29/1/2015
extraneous	irrelevant or unrelated to the subject being dealt with; of external origin	30/1/2015
dreadful	causing or involving great suffering fear or unhappiness	30/1/2015
eloquent	fluent or persuasive in speaking or writing	30/1/2015
condemn	express complete disapproval of; sentence (someone) to a particular punishment especially death	30/1/2015
servile	having or showing an excessive willingness to serve or please other	30/1/2015
snare	a trap for catching birds or mammals; typically one having a noose of wire or cord	3/2/2015
throng	a large;densly packed crowd of people or animals	3/2/2015
shun	to avoid (someone or something)	3/2/2015
seclusion	the state of being private and away from other people	3/2/2015
respite	a usually short interval or rest or relief	3/2/2015
eminent	(of a person) famous and respected within a particular sphere	3/2/2015
disdain	a feeling of strong dislike or disapproval of someone or something you think does not deserve respect	3/2/2015
dogma	a belief or set of beliefs that is accepted by the members of a group without being questioned or doubted	3/2/2015
edify	instruct or improve (someone) morally or intellectually	9/2/2015
ague	malaria or another illness involving fever and shivering	9/2/2015
repose	a state of rest; sleep or tranquillity	9/2/2015
tranquil	free from disturbance; calm	9/2/2015
raiment	another word for 'clothing'	9/2/2015
censure	express severe disapproval or (someone or something) especially in a formal statement	9/2/2015
sinister	giving the impression that something harmful or evil is happening or will happen	9/2/2015
rupture	(especially of a pipe or container; or bodily part such as an organ or membrane) break or burst suddenly	9/2/2015
elusive	difficult to find; catch; or achieve	9/2/2015
hobble	walk in an awkward way typically because of pain from an injury	9/2/2015
wither	fall into decay or decline; humiliate (someone) with a scornful look or manner	11/2/2015
cardinal	of the greatest importance; fundamental	11/2/2015
demur	raise objections or show reluctance; the action of objecting to or hesitating over something	11/2/2015
elude	escape from or avoid (a danger; enemy or puruser); typically in a skillful or cunning way	11/2/2015
verily	 truly; certainly	11/2/2015
fawn	(of a person) give a servile display of exaggerated flattery or affection typically in order to gain favour	11/2/2015
reckon	establish by calculation	11/2/2015
wont	one's customary behaviour; (of a person) in the habit of doing something	14/2/2015
caprice	a sudden and unaccountable change of mood or behaviour	14/2/2015
evince	reveal the presence of (a quality or feeling); indicate	14/2/2015
incessant	(of something regarded as unpleasant) continuing without pause or interruption	14/2/2015
distraught	very worried and upset	14/2/2015
unprecedented	never done or known before	14/2/2015
stow	pack or store (an object) carefully and neatly in a particular place	14/2/2015
humbug	deceptive or false talk or behaviour	14/2/2015
verbose	using or expressed in more words than are needed	14/2/2015
proficient	competent or skilled in doing or using something	14/2/2015
predilection	a preference or special liking for something; a bias in favour of something	15/2/2015
assiduity	constant or close attention to what one is doing	15/2/2015
endure	suffer (something painful or difficult) patiently	15/2/2015
choleric	bad tempered or irritable	15/2/2015
solemn	formal and dignified	15/2/2015
reticule	a woman's small handbag typically having a drawstring and decorated with embroidery or beading	15/2/2015
antiquity	 the ancient past especially the period of classical and other human civilisations before the middle ages	16/2/2015
barbaric	 savagely cruel	16/2/2015
facetious	 treating serious issues with deliberately inappropriate humour	16/2/2015
holler	 give a loud shout or cry	16/2/2015
damp	 slightly wet	16/2/2015
bewail	 express great regret; sadness; or disappointment about (something)	16/2/2015
grievous	(of something bad) very severe or serious	16/2/2015
banish	 send (someone) away from a country or place as an official punishment	16/2/2015
scorcher	 a day or period of very hot weather	18/2/2015
gibbous	 (of the moon) having the illuminated part greater than a semicircle and less than a circle	18/2/2015
shag	 chase or catch(fly balls) for practice	18/2/2015
desolate	 feeling or showing great unhappiness or loneliness	18/2/2015
agony	 causing great physical or mental pain	18/2/2015
quip	 a witty remark; a play on words	18/2/2015
delict	 a violation of the law	18/2/2015
maverick	 an unorthodox or independent minded person	23/2/2015
loupe	 a small magnifying glass used by jewellers and watchmakers	23/2/2015
esoteric	intended for or likely to be understood by only a small number of people with a specialised knowledge or interest	23/2/2015
thrift	the quality of using money and other resources carefully and not wastefully	23/2/2015
knack	an acquired or natural skill at doing something	23/2/2015
sozzled	very drunk	23/2/2015
curt	rudely brief	23/2/2015
pudgy	 (of a person or part of their body) rather fat	25/2/2015
aghast	 filled with horror or shock	25/2/2015
delinquent	 (typically of a young person) tending to commit a crime	25/2/2015
kennel	 a small shelter for a dog	25/2/2015
inept	having or showing no skill; clumsy	25/2/2015
whack	strike forcefully with a sharp blow	25/2/2015
dote	be extremely and uncritically fond of (to be used as : <word> on)	25/2/2015
surrogate	 a substitute especially a person deputizing for another in a specific role or office	25/2/2015
arcane	understood by few; mysterious or secret	26/2/2015
disciple	a personal follower of Christ during his life; a follower or pupil of a teacher or a leader or philosopher	26/2/2015
chaperone	a person who accompanies and looks after another person or group of people	26/2/2015
prodigy	a young person with exceptional qualities or abilities	26/2/2015
fraternity	a group of people sharing a common profession or interests	26/2/2015
hearse	a vehicle for conveying the coffin at a funeral	26/2/2015
ubiquitous	present or appearing or found everywhere	26/2/2015
nifty	particularly good or skillful or effective	27/2/2015
intrinsic	belonging naturally; essential	27/2/2015
monogamy	the practice of marrying or state of being married to one person at a time	27/2/2015
equanimity	calmness and composure especially in a difficult situation	27/2/2015
amiable	the quality of having a friendly and pleasant manner	27/2/2015
dicker	engage in petty argument or bargaining	27/2/2015
warmonger	a person who encourages or advocates aggression or warfare towards other nations or groups	27/2/2015
wring	squeeze and twist (something) to force liquid from it	27/2/2015
fiend	an evil spirit or demon; a very wicked or cruel person; an enthusiast or devotee of a particular thing	27/2/2015
delude	make (someone) believe something that is not true	28/2/2015
smitten	strike with a firm blow; be strongly attracted to someone or something	28/2/2015
benevolent	 well meaning and kindly; (of an organisation) serving a charitable rather than a profit making purpose	28/2/2015
unquiet	 unable to be still; restless	28/2/2015
grim	very serious or gloomy; depressing or worrying to consider	1/3/2015
ashen	(of a person's face) very pale with shock or fear or illness	1/3/2015
gusto	enjoyment and enthusiasm in doing something	1/3/2015
malevolent	having or showing a wish to do evil to other	1/3/2015
divulge	make known (private or sensitive information)	2/3/2015
knead	work (moistened flour or clay) into dough or paste with hands	2/3/2015
whim	 a sudden desire or change of mind; especially one that is unusual or unexplained	2/3/2015
epoch	a particular period of time in history or a person's life	2/3/2015
hedonistic	engaged in the pursuit of pleasure; sensually self indulgent	2/3/2015
defray	 provide money to pay (a cost or expense)	9/3/2015
flummoxed	 bewildered or perplexed	9/3/2015
plunder	steal goods from (a place or person) typically using force and in a time of war or civil disorder	9/3/2015
prosy	(especially of speech or writing) showing no imagination; commonplace or dull	9/3/2015
ghetto	 a part of a city which is especially a slum area occupied by a minority group or groups	10/3/2015
animosity	strong hostility	10/3/2015
malice	the desire to harm someone; ill will	10/3/2015
berserk	out of control with anger or excitement; wild or frenzied [to be used as went <word>]	10/3/2015
dwindle	diminish gradually in size or amount or strength	11/3/2015
relegate	assign an inferior rank or position to	11/3/2015
cleric	a priest or religious leader especially a Christian or Muslim one	11/3/2015
stupefy	make (someone) unable to think or feel properly; astonish and shock	11/3/2015
gobble	eat (something) hurriedly and noisily;(of a large organization) incorporate or take over (a smaller one)	11/3/2015
sick as a dog	 If you're as sick as a dog you're very sick [i]	11/3/2015
lurch	make an abrupt or unsteady or uncontrolled movement or series of movements	13/3/2015
squander	 waste (something; especially money or time) in a reckless and foolish manner	13/3/2015
bask	lie exposed to warmth and light which is typically from the sun for relaxation and pleasure	13/3/2015
demarcation	the action of fixing the boundary and limits of something	13/3/2015
nuptial	relating to marriage or weddings	14/3/2015
shudder	(of a person) tremble convulsively typically as a result of fear or repugnance	14/3/2015
repugnance	intense disgust	14/3/2015
hilt	the handle of a weapon or tool especially a sword or dagger or knife	14/3/2015
peril	serious and immediate danger	14/3/2015
odious	extremeley unpleasant; repulsive	15/3/2015
defy	openly resist or refuse to obey; appear to be challenging (someone) to do or prove something	15/3/2015
morsel	a small piece or amount of food; a mouthful	15/3/2015
gesticulate	 use gestures especially dramatic ones instead of speaking or to emphasize one's words	15/3/2015
vitriol	bitter criticism or malice	15/3/2015
brow	a person's forehead; (usually brows) an eyebrow	16/3/2015
intact	not damaged or impaired in any way; complete	16/3/2015
clobber	hit (someone) hard; clothing or personal belongings or equipment	16/3/2015
assert	state a fact or belief confidently and forcefully	16/3/2015
saunter	walk in a slow or relaxed manner; a leisurely troll	17/3/2015
convoluted	(especially of an argument or story or sentence) extremely complex and difficult to follow	17/3/2015
placate	make (someone) less angry or hostile	17/3/2015
gaiety	the state or quality of being light hearted or cheerful	17/3/2015
concede	admit or agree that something is true after first denying or resisting it	17/3/2015
avert	turn away (one's eyes or thoughts)	18/3/2015
desultory	lacking a plan or purpose or enthusiasm	18/3/2015
beckon	make a gesture with the hand or arm or head to encourage or instruct someone to approach	18/3/2015
feeble	lacking physical strength especially as a result of age or illness	18/3/2015
frivolous	not having any serious purpose or value	18/3/2015
retribution	punishment inflicted on someone as vengeance for a wrong or criminal act	19/3/2015
despair	the complete loss or absence of hope	19/3/2015
maim	wound or injure (a person or animal) so that part of the body is permanently damaged	19/3/2015
perpetual	never ending or chaning; occurring repeatedly so frequent as to seem endless and uninterrupted	19/3/2015
jape	a practical joke; say or do something in jest or mockery	19/3/2015
rummage	search unsystematically and untidily through something	20/3/2015
dubious	hesitating or doubting; not to be relied upon; suspect	20/3/2015
commonplace	not unusual or ordinary; a usual or ordinary thing	20/3/2015
reign	hold royal office; rule as monarch	20/3/2015
pandemonium	wild and noisy disorder or confusion	20/3/2015
tenuous	very weak or slight	21/3/2015
squalid	[adj] (of a place) extremely dirty and unpleasant especially as a result of poverty or neglect	21/3/2015
surreal	[adj] very strange or unusual : having the quality of a dream	21/3/2015
incredulous	[adj] not able or willing to believe something : feeling or showing a lack of belief	21/3/2015
couch potato	[idiom] an extremely lazy person who spends most of their time on the couch / sofa watching the TV and eating junk food	21/3/2015
