Word	Meaning	Sample	Times Revision	Date
abstraction	the quality of dealing with ideas rather than events	Our mistake lies in abstraction of the one from the other, which, as always, ends in confusion of the one with the other.	4	19/11/2015
wary	[adj] feeling or showing caution about possible dangers or problems	dogs which have been mistreated often remain very wary of strangers	4	21/11/2015
thwart	[v with obj] prevent (someone) from accomplishing something	he never did anything to thwart his father	4	21/11/2015
probe	[n] a blunt-ended surgical instrument used for exploring a wound or part of the body; a thorough investigation into a crime or other matter; [v] physically explore or examine (something) with the hands or an instrument: researchers probing the digestive glands of mollusks.	none available	4	21/11/2015
hysterical	[adj] affected by or deriving from widly uncontrolled emotion	Janet became hysterical and began screeaming	4	21/11/2015
lecherous	[adj] having or showing excessive or offensive sexual desire	she ignored his lecherous gaze	4	21/11/2015
abomination	a thing that causes disgust or loathing	In the words of IS, which claimed responsibility, their target was the capital of abomination and perversion	2	22/11/2015
conscientious	[adj] wishing to do one's work or duty well and thoroughly; relating to a person's conscience	The constable's feelings were hurt because he was a conscientious man	2	22/11/2015
satire	the use of humour, irony, exaggeration, or ridicule to expose and criticize people's stupidity or vices, particularly in the context of contemporary politics and other topical issues	Charlie Hobbes (magazine from France) is a satricial novel	2	22/11/2015
quirky	having or characterized by peculiar or unexpected traits or aspects	None of us have a perfect memory, because it's too quirky, complicated and unreliable	2	22/11/2015
prophylactic	[adj] intended to prevent disease; [n] a medicine or course of action to prevent disease; a condom	prophylactic measures	3	23/11/2015
vexation	[n] the state of being annoyed, frustrated, or worried	Jenna bit her lip in vexation	4	23/11/2015
venison	[n] meat from a deer	None	4	23/11/2015
adobe	[n] a kind of clay used as a building material	None	3	23/11/2015
epilepsy	[n] a neurological disorder marked by sudden recurrent episodes of sensory disturbance, loss of consciousness, or convulsions, associated with abnormal electrical activity in the brain	None	4	23/11/2015
triumph	a great victory or achievement; a highly successful example of something	a garden built to celebrate Napoleon's many triumphs	3	25/11/2015
amiss	[adj] not quite right; inappropriate or out of place; [adv] wrongly or inappropriately	there was something amiss about his calculations; the prime minister may have constructed his cabinet a little amiss	3	25/11/2015
hobo	[n] a homeless person or migrant worker; a tramp	The guy in Into the wild said he was a hobo	3	25/11/2015
cumbersome	[adj] large or heavy and therefore difficult to carry or use; slow or complicated and therefore inefficient	cumbersome diving suits; organizations with cumbersome hierarchical structures	3	25/11/2015
exuberant	[adj] full of energy, excitement, and cheerfulness; characterized by a vigorously imaginative artisitc style	a noisy bunch of excuberant youngsters; exuberant, over-the-top sculptures; Adam drove exuberantly from farm to farm, picked up dirt and crumbled it in his fingers, talked and planned and dreamed	3	25/11/2015
perversion	[n] something that improperly changes something good; sexual behavior that people think is not normal or natural	all great evil is the perversion of a good	2	22/11/2015
forlorn	[adj] pitifully sad and abandoned or lonely; (of an aim or endeavour) unlikely to succeed or be fulfilled	forlorn figures at bus stops; But that is a forlorn hope	2	26/11/2015
embellish	[v with obj] make (something) more attractive by the addition of decorative details or features; make (a statement or story) more interesting by adding extra details	blue silk embellished with golden embroidery; I may have embellished my characters in CSI: Regression Analysis but not the kind of significant questions they could examine	2	26/11/2015
totalitarian	[adj] relating to a system of government that is centralised and dictorial and requires complete subservience to the state	None	2	26/11/2015
unbecoming	[adj] (especially of clothing or a colour) not flattering; (of behaviour) not fitting or appropriate; unseemly	a stout lady in an unbecoming striped sundress	2	26/11/2015
prodigal	[adj] spending money or using resources freely and recklessly; wastefully extravagant; having or giving something on a lavish scale	prodigal habits die hard; We do not mean the pleasures of the prodigal or the pleasures of sensuality	2	26/11/2015
affinity	[n] a natural liking for and understanding of someone or something	he had a special affinity with horses	1	27/11/2015
stupefy	[v with obj] make (someone) unable to think or feel properly	It's only ten dollars, you'll think, sstupefied that you're having such conversations	1	27/11/2015
reproach	[v with obj] express to (someone) one's disapproval of or disappointment in their actions	her friends reproached her for not thinking enough about her family	1	27/11/2015
assiduous	[adj] showing great care and perseverance	She cried trying assiduously to give a stern expressions to her face, into which he was gazing greddily	1	27/11/2015
treachery	[n] betrayal of trust; the quality of being deceptive	Many died because of his treachery	1	27/11/2015
deterrent	[n] a thing that discourages or is intended to discourage someone from doing something	Cameras are a major deterrent to crime	2	28/11/2015
stifle	[v with obj] unable to breathe properly; suffocate; restrain (a reaction) or stop oneself acting on (an emotion)	those in the streets stiffled by the fumes	2	28/11/2015
implore	[v] beg someone earnestly or desperately to do something	he implored her to change her mind	2	28/11/2015
cajole	[v with obj] persuade (someone) to do something by sustained coaxing or flattery	he hoped to cajole her into selling him her house	2	28/11/2015
elusive	difficult to find, catch, or achieve; difficult to remember	success will become ever more elusive.	2	28/11/2015
sceptic	[n] a person inclined to question or doubt accepted opinions; an ancient or modern philosopher who denies the possibility of knowledge, or even rational belief, in some sphere	You can believe in ghosts if you like, but I'm still a skeptic.	0	30/11/2015
reveille	[n] a signal sounded especially on a bugle or drum to wake personnel in the armed forces	And here I get up half-hour before reveille	0	30/11/2015
oblivious	[adj] not aware of or concerned about what is happening around one	she became absorbed, oblivious to the passage of time	0	30/11/2015
pidgin	[n] a gramatically simplified form of a language, typically english, dutch, or portuguese, some elements of which are taken from local languages, used for communication between people not sharing a common language; denoting a simplified form of a language, especially as used by a nonnative speaker	we exchanged greetings, communicating in pidgin Spanish.	0	30/11/2015
precocious	(of a child) having developed certain abilities or proclivities at an earlier age than usual	he was no longer a precocious boy who was acting like a man, but a young man-about to get married-who looked and sometimes acted like a boy	0	30/11/2015
gyre	whirl or gyrate	The gyre of egotism, insecurity and infidelity just kept widening; a circular or spiral motion or form	0	01/12/2015
buoyancy	[n] the ability of an object to float in water or air	We hope that the economy will maintain its buoyancy.	0	01/12/2015
placid	[adj] not easily upset or excited: a placid, contented man.	the placid surface of the lake	0	01/12/2015
credence	[n] belief that something is true; the quality of being believed or accepted as something true or real	The theory is gaining credence among scientists.	0	01/12/2015
awrt	[adverb and adjective] not working correctly or happening in the expected way; not straight or neat	Beer is made up of a complex concoction of substances that stretch well beyond simply that of water and ethanol. There is ample opportunity, then, for things to go awry in the beer-making process	0	01/12/2015
overhaul	[v] take apart (a piece of machinery or equipment) in order to examine it and repair it if necessary; overtake (someone), especially in a sporting event; to change (something) completely in order to improve it	the steering box was recently overhauled; Lawmakers are overhauling the welfare program.	0	02/12/2015
resilience	 [n] the ability of a substance or object to spring back into shape; elasticity; the capacity to recover quickly from difficulties; toughness	Not using other people as an excuse another example of someone who showed resilience in the face of terrible parenting is Brett Wheat-Simms, who is a friend and Stoic now living in	0	02/12/2015
betrothal	[n] formal engagement to be married; engagement	It was preceded, however, by a formal betrothal and accompanied by a feast.	0	02/12/2015
etymology	 [n] the study of the origin of words and the way in which their meanings have changed throughout history	the decline of etymology as a linguistic discipline	0	02/12/2015
stolid	[adj] calm, dependable, and showing little emotion or animation	Behind George, Will grew along, dumpy and stolid	0	02/12/2015
